Timestamp,Enter the Result Number (column A in spreadsheet) of the abstract you are reviewing.,"Is the study ecosystem an inland waterbody? (e.g., salty lakes, lagoons, swamps, wetlands ok, coastal oceans and estuaries not ok) For studies forecasting runoff or drought/flood risk, there must be some representation of an inland waterbody in the modeling approach.","Is the study presenting a forecast, nowcast, or hindcast?","If the study is a forecast, nowcast, or hindcast, is uncertainty specified?",Is the forecast/hindcast/nowcast near-term?,"If uncertainty is NOT specified, what modeling approach is used?",Notes (optional) - anything you think we NEED to know re: this paper?,"Are the only forecast target variables some combination of streamflow, inflow, or stream or river discharge, water level or flood risk?"
6/8/2022 13:57,593,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 7:44,594,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 7:44,595,no,,,,,,
6/9/2022 7:47,596,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 7:48,597,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 7:49,598,yes; surface water,none of the above,,,,,no
6/9/2022 7:49,599,no,,,,,,
6/9/2022 7:51,600,no,,,,,,
6/9/2022 7:53,601,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/9/2022 7:54,602,yes; surface water,hindcast,yes,yes,,,yes
6/9/2022 7:55,603,no,,,,,,
6/9/2022 7:57,604,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 7:58,605,yes; surface water,none of the above,,,,,no
6/9/2022 8:00,606,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:01,607,yes; surface water,none of the above,,,,,yes
6/9/2022 8:01,608,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:02,609,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:04,610,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 8:07,611,yes; surface water,none of the above,,,,,no
6/9/2022 8:09,612,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 8:12,613,yes; surface water,forecast,yes,yes,,cool data assimilation of social media data into flood models,yes
6/9/2022 8:13,614,yes; surface water,none of the above,,,,cool social science study looking at how reservoir operators respond to uncertainty in snowmelt runoff forecasts,yes
6/9/2022 8:15,615,yes; surface water,hindcast,yes,yes,,,yes
6/9/2022 8:16,616,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 8:17,617,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:19,618,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:20,619,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:20,620,yes; surface water,none of the above,,,,Rousso et al review,no
6/9/2022 8:22,621,yes; surface water,forecast,no,yes,time series model (e.g. ARIMA),,yes
6/9/2022 8:22,622,no,,,,,,
6/9/2022 8:22,623,no,,,,,,
6/9/2022 8:23,624,yes; surface water,none of the above,,,,,no
6/9/2022 8:25,625,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 8:26,626,no,,,,,,
6/9/2022 8:27,627,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:29,628,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 8:33,630,yes; surface water,none of the above,,,,,no
6/9/2022 8:34,631,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 8:34,632,no,,,,,,
6/9/2022 8:37,633,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:38,634,yes; surface water,hindcast,yes,yes,,,yes
6/9/2022 8:39,635,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 8:40,636,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 11:18,637,yes; surface water,forecast,yes,yes,,,no
6/9/2022 11:19,638,no,,,,,,
6/9/2022 11:20,639,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 11:24,640,yes; surface water,forecast,no,yes,empirical model but not a time series model (e.g. multiple regression),,yes
6/9/2022 11:25,641,yes; surface water,none of the above,,,,,yes
6/9/2022 11:25,642,no,,,,,,
6/9/2022 11:26,643,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 11:27,644,no,,,,,,
6/9/2022 11:28,645,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 11:29,646,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 11:30,647,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 11:31,648,yes; groundwater,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 11:36,649,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/9/2022 11:42,650,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 11:43,651,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 11:46,652,yes; surface water,none of the above,,,,,yes
6/9/2022 11:47,653,yes; surface water,hindcast,yes,yes,,,yes
6/9/2022 11:48,654,yes; surface water,none of the above,,,,symposium report on ice jam flood forecasting,yes
6/9/2022 11:52,656,yes; surface water,forecast,no,yes,"numerical ecosystem simulation (e.g. GLM-AED), process-based but not ecosystem simulation (e.g. age-structured population model)",,yes
6/9/2022 11:56,657,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 11:58,659,no,,,,,,
6/9/2022 11:58,660,yes; surface water,none of the above,,,,,no
6/9/2022 11:59,661,no,,,,,,
6/9/2022 11:59,662,no,,,,,,
6/9/2022 11:59,663,no,,,,,,
6/9/2022 12:00,664,no,,,,,,
6/9/2022 12:00,665,no,,,,,,
6/9/2022 12:04,666,yes; surface water,none of the above,,,,,yes
6/9/2022 12:04,667,no,,,,,,
6/9/2022 12:06,668,yes; surface water,forecast,yes,yes,,,no
6/9/2022 12:07,669,yes; surface water,forecast,no,,empirical model but not a time series model (e.g. multiple regression),,yes
6/9/2022 12:08,670,no,,,,,,
6/9/2022 12:10,671,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:12,672,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:12,673,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:13,674,no,,,,,,
6/9/2022 12:14,675,yes; surface water,none of the above,,,,perspective piece on the future of flood forecast-based early action,yes
6/9/2022 12:15,676,no,,,,,,
6/9/2022 12:15,677,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:15,678,no,,,,,,
6/9/2022 12:18,680,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:20,681,yes; surface water,none of the above,,,,,yes
6/9/2022 12:21,682,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:22,683,yes; surface water,none of the above,,,,,yes
6/9/2022 12:33,684,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:35,685,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:36,686,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:37,687,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:39,688,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:39,689,no,,,,,,
6/9/2022 12:39,690,no,,,,,,
6/9/2022 12:42,691,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:42,692,yes; surface water,none of the above,,,,,yes
6/9/2022 12:44,693,yes; surface water,hindcast,no,yes,time series model (e.g. ARIMA),,yes
6/9/2022 12:44,694,no,,,,,,
6/9/2022 12:46,695,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:47,696,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:47,697,no,,,,,,
6/9/2022 12:49,698,yes; surface water,none of the above,,,,,yes
6/9/2022 12:49,699,no,,,,,,
6/9/2022 12:50,700,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:50,701,no,,,,,,
6/9/2022 12:51,702,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:53,703,no,,,,,,
6/9/2022 12:53,704,no,,,,,,
6/9/2022 12:53,705,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:56,707,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:57,708,no,,,,,,
6/9/2022 12:58,709,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/9/2022 12:58,710,yes; surface water,forecast,yes,yes,,,yes
6/9/2022 12:59,711,yes; surface water,none of the above,,,,,no
6/9/2022 12:59,712,no,,,,,,
6/9/2022 13:01,713,yes; groundwater,none of the above,,,,,yes
6/17/2022 7:57,240,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/17/2022 8:02,144,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/17/2022 8:05,205,yes; surface water,forecast,no,yes,"time series model (e.g. ARIMA), machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/17/2022 8:12,266,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,no
6/17/2022 8:14,325,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/17/2022 8:16,80,yes; surface water,forecast,no,yes,time series model (e.g. ARIMA),,yes
6/17/2022 8:19,64,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/17/2022 8:21,329,yes; surface water,forecast,yes,yes,,,yes
6/17/2022 8:26,655,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/17/2022 8:27,658,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/17/2022 8:37,679,yes; surface water,forecast,yes,yes,,,yes
6/17/2022 8:38,706,yes; surface water,forecast,no,yes,"machine learning, either process-guided or not process-guided (e.g. ANN)",,yes
6/17/2022 8:44,17,yes; surface water,forecast,yes,no,,,no
6/17/2022 8:45,31,no,,,,,,
6/17/2022 8:49,206,yes; surface water,none of the above,,,,,yes
6/17/2022 8:53,9,yes; surface water,none of the above,,,,modeling study with proposed forecasting,no
