Result Number,Article Title,Abstract,DOI,DOI,Author Full Names,Source Title,Author Keywords,Keywords Plus,Affiliations,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,
690,Sustainable and reliable design of reverse osmosis desalination with hybrid renewable energy systems through supply chain forecasting using recurrent neural networks,"Renewable energy systems coupled with reverse osmosis (RO) desalination represent a great contribution to the fields of energy and sustainability. Especially in remote areas, where reliability issues associated with integrated systems result in problems of insufficient power supply or supply loss due to the intermittency of renewable sources and varying freshwater demand. This research aims to design a sustainable and reliable hybrid renewable energy system (HRES) coupled with RO desalination system (HRES-RO), considering different operational scenarios with fluctuating renewable energy supply, and changeable water.demand. First, future energy supply from renewable sources, and water demand were forecasted to deal with the stochastic behavior of several variables including freshwater demand, ambient temperature, solar radiation, and wind speed by means of recurrent neural networks (RNN). Then, multi-criteria optimization was conducted using extended mathematical programming (EMP) with the aim of minimizing the total annual costs and greenhouse gas emission. Finally, the potential loss of power supply probability (PLPSP) was introduced as a tool to illustrate the sustainability of the proposed scenarios. The results showed that the proposed framework resulted in an HRES with optimized installation strategy using 111 photovoltaic panels and 5 wind turbines by considering three criteria (economic cost, environmental effect, and energy reliability). The designed system reduced PLPSP by 18.3% compared with the base case. Furthermore, the results demonstrated the contribution of advanced forecasting algorithms to address future uncertainties in the energy supply chain. (C) 2019 Elsevier Ltd. All rights reserved.",https://doi.org/10.1016/j.energy.2019.04.114,10.1016/j.energy.2019.04.114,"Li, Qian; Loy-Benitez, Jorge; Nam, KiJeon; Hwangbo, Soonho; Rashidi, Jouan; Yoo, ChangKyoo",ENERGY,Energy reliability index; Supply chain forecasting model; Hybrid renewable energy system; Multi-objective optimization; Recurrent neural network,POWER-GENERATION SYSTEMS; WIND-SPEED; TECHNOECONOMIC OPTIMIZATION; WATER DESALINATION; SIZE OPTIMIZATION; PINCH ANALYSIS; SOLAR; DEMAND; BATTERY; MANAGEMENT,,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0360-5442,1873-6785,,ENERGY,Energy,JUL 1,2019,178,,277,292,,
691,Monthly reservoir inflow forecasting using a new hybrid SARIMA genetic programming approach,"Forecasting reservoir inflow is one of the most important components of water resources and hydroelectric systems operation management. Seasonal autoregressive integrated moving average (SARIMA) models have been frequently used for predicting river flow. SARIMA models are linear and do not consider the random component of statistical data. To overcome this shortcoming, monthly inflow is predicted in this study based on a combination of seasonal autoregressive integrated moving average (SARIMA) and gene expression programming (GEP) models, which is a new hybrid method (SARIMA-GEP). To this end, a four-step process is employed. First, the monthly inflow datasets are pre-processed. Second, the datasets are modelled linearly with SARIMA and in the third stage, the non-linearity of residual series caused by linear modelling is evaluated. After confirming the non-linearity, the residuals are modelled in the fourth step using a gene expression programming (GEP) method. The proposed hybrid model is employed to predict the monthly inflow to the Jamishan Dam in west Iran. Thirty years' worth of site measurements of monthly reservoir dam inflow with extreme seasonal variations are used. The results of this hybrid model (SARIMA-GEP) are compared with SARIMA, GEP, artificial neural network (ANN) and SARIMA-ANN models. The results indicate that the SARIMA-GEP model (R-2=78.8, VAF=78.8, RMSE=0.89, MAPE=43.4, CRM=0.053) outperforms SARIMA and GEP and SARIMA-ANN (R-2=68.3, VAF=66.4, RMSE=1.12, MAPE=56.6, CRM=0.032) displays better performance than the SARIMA and ANN models. A comparison of the two hybrid models indicates the superiority of SARIMA-GEP over the SARIMA-ANN model.",https://doi.org/10.1007/s12040-017-0798-y,10.1007/s12040-017-0798-y,"Moeeni, Hamid; Bonakdari, Hossein; Ebtehaj, Isa",JOURNAL OF EARTH SYSTEM SCIENCE,Forecasting; inflow; time series; hybrid; gene expression programming,ADAPTIVE NEURO-FUZZY; RIVER FLOW; TIME-SERIES; DISCHARGE COEFFICIENT; INFERENCE SYSTEM; ARIMA-ANN; NETWORK; MODELS,,INDIAN ACAD SCIENCES,BANGALORE,"C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE 560 080, INDIA",2347-4327,0973-774X,,J EARTH SYST SCI,J. Earth Syst. Sci.,MAR,2017,126,2,,,18,
692,Identifying Key Hydrological Processes in Highly Urbanized Watersheds for Flood Forecasting with a Distributed Hydrological Model,"The world has experienced large-scale urbanization in the past century, and this trend is ongoing. Urbanization not only causes land use/cover (LUC) changes but also changes the flood responses of watersheds. Lumped conceptual hydrological models cannot be effectively used for flood forecasting in watersheds that lack long time series of hydrological data to calibrate model parameters. Thus, physically based distributed hydrological models are used instead in these areas, but considerable uncertainty is associated with model parameter derivation. To reduce model parameter uncertainty in physically based distributed hydrological models for flood forecasting in highly urbanized watersheds, a procedure is proposed to control parameter uncertainty. The core concept of this procedure is to identify the key hydrological and flood processes in the highly urbanized watersheds and the sensitive model parameters related to these processes. Then, the sensitive model parameters are adjusted based on local runoff coefficients to reduce the parameter uncertainty. This procedure includes these steps: collecting the latest LUC information or estimating this information using satellite remote sensing images, analyzing LUC spatial patterns and identifying dominant LUC types and their spatial structures, choosing and establishing a distributed hydrological model as the forecasting tool, and determining the initial model parameters and identifying the key hydrological processes and sensitive model parameters based on a parameter sensitivity analysis. A highly urbanized watershed called Shahe Creek in the Pearl River Delta area was selected as a case study. This study finds that the runoff production processes associated with both the ferric luvisol and acric ferralsol soil types and the runoff routing process on urban land are key hydrological processes. Additionally, the soil water content under saturated conditions, the soil water content under field conditions and the roughness of urban land are sensitive parameters.",https://doi.org/10.3390/w11081641,10.3390/w11081641,"Wang, Huanyu; Chen, Yangbo",WATER,flood forecasting; urbanization; distributed hydrological model; land use; cover; satellite remote sensing,COVER CHANGE; LAND-USE; CLASSIFICATION; SURFACE; SYSTEM; CALIBRATION; SATELLITE; NETWORKS; EUROPEEN; CLIMATE,,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,2073-4441,,WATER-SUI,Water,AUG,2019,11,8,,,1641,
693,Streamflow and Hydrological Drought Trend Analysis and Forecasting in Cyprus,"The persistent water shortage in Cyprus has been alleviated by importing freshwater from neighbouring countries, and severe droughts have been met with financial reimbursement from the EU at least twice. The goal of this research is to investigate and perform short-term forecasting of both streamflow and hydrological drought trends over the island. Eleven hydrometric stations with a 34-year common record length of the mean daily discharge from 10/1979 to 09/2013 are used for this purpose, with the relevant upstream catchments considered to represent pristine conditions. The Streamflow Drought Index (SDI) successfully captures the hydrological drought conditions over the island, and the performance of the index is validated based on both the historic drought archives and results from other drought indices for the island. The Mann-Kendall (M-K) test reveals that the annual and seasonal time series of the discharge volumes always illustrate a decreasing but insignificant trend at a significance level of a = 0.05; additionally, the decrease per decade in the average annual streamflow volume based on Sen's slope statistic is approximately -9.4%. The M-K test on the SDI reveals that drought conditions intensified with time. Ten autoregressive integrated moving average (ARIMA) models are built and used to forecast the mean monthly streamflow values with moderate accuracy; the best ARIMA forecast model in each catchment is derived by comparing two model-performance statistical measures for the different (p,d,q) model parameters. The predicted discharge values are processed by the SDI-3 index, revealing that non-drought conditions are expected in most catchments in the upcoming three months, although mild-drought conditions are anticipated for catchments 7, 8 and 9.",https://doi.org/10.1007/s11269-018-1902-z,10.1007/s11269-018-1902-z,"Myronidis, Dimitrios; Ioannou, Konstantinos; Fotakis, Dimitrios; Dorflinger, Gerald",WATER RESOURCES MANAGEMENT,Streamflow drought index; M-K test; ARIMA,RIVER-BASIN; DETECT TREND; PRECIPITATION; DISCHARGE; MODELS; FLOW; PREDICTION; CLIMATE; INDEXES; WAVELET,,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0920-4741,1573-1650,,WATER RESOUR MANAG,Water Resour. Manag.,MAR,2018,32,5,1759,1776,,
694,A Multi-Step Approach Framework for Freight Forecasting of River-Sea Direct Transport without Direct Historical Data,"The freight forecasting of river-sea direct transport (RSDT) is crucial for the policy making of river-sea transportation facilities and the decision-making of relevant port and shipping companies. This paper develops a multi-step approach framework for freight volume forecasting of RSDT in the case that direct historical data are not available. First, we collect publicly available shipping data, including ship traffic flow, speed limit of each navigation channel, free-flow running time, channel length, channel capacity, etc. The origin-destination (O-D) matrix estimation method is then used to obtain the matrix of historical freight volumes among all O-D pairs based on these data. Next, the future total freight volumes among these O-D pairs are forecasted by using the gray prediction model, and the sharing rate of RSDT is estimated by using the logit model. The freight volume of RSDT is thus determined. The effectiveness of the proposed approach is validated by forecasting the RSDT freight volume on a shipping route of China.",https://doi.org/10.3390/su11154252,10.3390/su11154252,"Guo, Zhaoxia; Le, Weiwei; Wu, Youkai; Wang, Wei",SUSTAINABILITY,river-sea direct transportation; O-D matrix estimation; logit model; gray prediction model,CONTAINER THROUGHPUT; DEMAND; TIME,,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,2071-1050,,SUSTAINABILITY-BASEL,Sustainability,AUG,2019,11,15,,,4252,
695,A Composite Uncertainty Forecasting Model for Unstable Time Series: Application of Wind Speed and Streamflow Forecasting,"Wind speed and streamflow series always are nonlinear and unstable because the effects of chaotic weather systems. These inherent features make them difficult to forecast, especially in a changing environment. To improve forecasting accuracy, an innovation uncertainty forecasting architecture is developed by coupling data decomposition method, feature selection, multiple artificial intelligence (AI) techniques and composite strategy to do unstable time series forecasting. In the designed architecture, the AVMD (adaptive variational mode decomposition) is first applied to excavate implicit information from the original time series. Then, the random forest is utilized to select the suitable inputs for each mode. After that, the GPR (Gaussian Process Regression), a very famous probabilistic AI technique, is driven by various neural networks (ELM (Extreme Learning Machine), BP (Back Propagation Neural Networks), GRNN(Generalized Regression Neural Networks) and RBF (Radial Basis Function Neural Networks)) to produce both deterministic and probabilistic forecasting results in a nonlinear manner to play strengths of each other. The effectiveness and applicability of the proposed approach is verified by unstable wind speed data and streamflow data, and also compared with eleven related models. Results indicate that the proposed model not only improves the forecasting accuracy for deterministic predictions, but also provides more probabilistic information for decision making. The proposed method achieves significantly better performance than the traditional forecasting models both on wind speed forecasting and streamflow forecasting with at least 50% average performance promotion over all the eleven competitors. Comprehensive comparisons demonstrate the superior performance of the proposed method than the involved models as a powerful tool for unstable series forecasting.",https://doi.org/10.1109/ACCESS.2020.3034127,10.1109/ACCESS.2020.3034127,"Sun, Na; Zhang, Shuai; Peng, Tian; Zhou, Jianzhong; Sun, Xinguo",IEEE ACCESS,Forecasting; Predictive models; Wind speed; Data models; Computational modeling; Uncertainty; Unstable time series prediction; hybrid model; GPR; artificial intelligence; combination forecasting,NEURAL-NETWORK; SECONDARY DECOMPOSITION; PREDICTION INTERVAL; HYBRID MODEL; MACHINE; OPTIMIZATION; MULTISTEP,,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",2169-3536,,,IEEE ACCESS,IEEE Access,,2020,8,,209251,209266,,
696,Towards Safer Data-Driven Forecasting of Extreme Streamflows,"Predicting extreme events is one of the major goals of streamflow forecasting, but models that are reliable under such conditions are hard to come by. This stems in part from the fact that, in many cases, calibration is based on recorded time series that do not comprise extreme events. The problem is particularly relevant in the case of data-driven models, which are focused in this work. Based on synthetic and real world streamflow forecasting examples, two main research questions are addressed: 1) would/should the models chosen by established practice be maintained were extreme events being considered and 2) how can established practice be improved in order to reduce the risks associated with the poor forecasting of extreme events? Among the data-driven models employed in streamflow forecasting, Support Vector Regression (SVR) has earned the researchers' interest due to its good comparative performance. The present contribution builds upon the theory underlying this model in order to illustrate and discuss its tendency to predictably underestimate extreme flood peaks, raising awareness to the obvious risks that entails. While focusing on SVR, the work highlights dangers potentially present in other non-linear regularized models. The results clearly show that, under certain conditions, established practices for validation and choice may fail to identify the best models for predicting extreme streamflow events. Also, the paper puts forward practical recommendations that may help avoiding potential problems, namely: establishing up to what return period does the model maintain good performances; privileging small lambda hyperparameters in Radial Basis Function (RBF) SVR models; preferring linear models when their validation performances are similar to those of non-linear models; and making use of predictions made by more than one type of data-driven model.",https://doi.org/10.1007/s11269-017-1834-z,10.1007/s11269-017-1834-z,"Matos, Jos P.; Portela, Maria M.; Schleiss, Anton J.",WATER RESOURCES MANAGEMENT,Artificial neural networks; Discharge; Extreme events; Forecasting; Support vector regression,SUPPORT VECTOR MACHINE; ARTIFICIAL NEURAL-NETWORK; RIVER FLOW; UNCERTAINTY; PREDICTION; MODELS; PRECIPITATION; REGRESSION; INFLOW; SYSTEM,,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0920-4741,1573-1650,,WATER RESOUR MANAG,Water Resour. Manag.,JAN,2018,32,2,701,720,,
697,Skillful Subseasonal Prediction of US Extreme Warm Days and Standardized Precipitation Index in Boreal Summer,"Skillful subseasonal prediction of extreme heat and precipitation greatly benefits multiple sectors, including water management, public health, and agriculture, in mitigating the impact of extreme events. A statistical model is developed to predict the weekly frequency of extreme warm days and 14-day standardized precipitation index (SPI) during boreal summer in the United States. We use a leading principal component of U.S. soil moisture and an index based on the North Pacific sea surface temperature (SST) as predictors. The model outperforms the NCEP Climate Forecast System, version 2 (CFSv2), at weeks 3-4 in the eastern United States. It is found that the North Pacific SST anomalies persist for several weeks and are associated with a persistent wave train pattern, which leads to increased occurrences of blocking and extreme temperature over the eastern United States. Extreme dry soil moisture conditions persist into week 4 and are associated with an increase in sensible heat flux and a decrease in latent heat flux, which may help to maintain the overlying anticyclone. The clear-sky conditions associated with blocking anticyclones further decrease soil moisture and increase the frequency of extreme warm days. This skillful statistical model has the potential to aid in irrigation scheduling, crop planning, and reservoir operation and to provide mitigation of impacts from extreme heat events.",https://doi.org/10.1175/JCLI-D-20-0878.1,10.1175/JCLI-D-20-0878.1,"Miller, Douglas E.; Wang, Zhuo; Li, Bo; Harnos, Daniel S.; Ford, Trent",JOURNAL OF CLIMATE,Atmosphere-land interaction; Atmosphere-ocean interaction; Blocking; Extreme events; Climate variability; Soil moisture; Statistical forecasting,SOIL-MOISTURE; UNITED-STATES; HEAT WAVES; CIRCUMGLOBAL TELECONNECTION; HOT DAYS; TEMPERATURE; IMPACT; FORECAST; PREDICTABILITY; VARIABILITY,,AMER METEOROLOGICAL SOC,BOSTON,"45 BEACON ST, BOSTON, MA 02108-3693 USA",0894-8755,1520-0442,,J CLIMATE,J. Clim.,JUL,2021,34,14,5887,5898,,
698,Prediction of flood using optimized neural network with Gray wolf algorithm (Maroon River case study),"Floods, as one of the most frequent natural hazards, cause irreparable damage to infrastructure and agriculture, and housing every year. In order to avoid financial and human losses, the importance of flood forecasting seems inevitable. Considering that floods are caused by many natural and anthropogenic factors and also have limitations such as lack of complete information. In this study, artificial neural networks have been used as an efficient method for flood prediction. The neural network inputs include the Dubai River and the Eshel River, this data was collected over 8 Years from the Maroon River. The network used is a multilayer perceptron, also the neural network weights are optimized by the Gray wolf algorithm and the results are compared with other common methods. Analysis of the output results shows that the neural network with the Gray Wolf algorithm has better results than neural network and Genetic algorithms and the error of this method is 0.53%, which indicates high accuracy and precision for flood prediction compared to other evolutionary algorithms. This method is used to obtain the best amount of data for testing and training. As the results, the best rate is 80% for training and 20% for testing. Obtained results show the neural network error squares with 80% of the training data and 20% of the test data.",https://doi.org/10.15551/pesd2021152004,10.15551/pesd2021152004,"Doumari, Sajjad Amiri",PRESENT ENVIRONMENT AND SUSTAINABLE DEVELOPMENT,Flood Routing; Artificial Neural Network; Gray Wolf Algorithm; Maroon River,ACCURATE PREDICTION; MODEL,,"ALEXANDRU IOAN CUZA UNIV PRESS, FAC GEOGRAPHY & GEOLOGY",IASI,"STR PINILUI NR 1A, IASI, ROMANIA",1843-5971,2284-7820,,PRESENT ENV SUST DEV,Present Environ. Sustain. Dev.,,2021,15,2,41,53,,
699,DEVELOPMENT OF RAINFALL FORECASTING MODEL USING MACHINE LEARNING WITH SINGULAR SPECTRUM ANALYSIS,"Agriculture is the key point for survival for developing nations like India. For farming, rainfall is generally significant. Rainfall updates are help for evaluate water assets, farming, ecosystems and hydrology. Nowadays rainfall anticipation has become a foremost issue. Forecast of rainfall offers attention to individuals and knows in advance about rainfall to avoid potential risk to shield their crop yields from severe rainfall. This study intends to investigate the dependability of integrating a data pre-processing technique called singular-spectrum-analysis (SSA) with supervised learning models called least-squares support vector regression (LS-SVR), and Random-Forest (RF), for rainfall prediction. Integrating SSA with LS-SVR and RF, the combined framework is designed and contrasted with the customary approaches (LS-SVR and RF). The presented frameworks were trained and tested utilizing a monthly climate dataset which is separated into 80:20 ratios for training and testing respectively. Performance of the model was assessed using Root Mean Square Error (RMSE) and Nash-Sutcliffe Efficiency (NSE) and the proposed model produces the values as 71.6 %, 90.2 % respectively. Experimental outcomes illustrate that the proposed model can productively predict the rainfall.",https://doi.org/10.31436/iiumej.v23i1.1822,10.31436/iiumej.v23i1.1822,"Reddy, Pundru Chandra Shaker; Sucharitha, Yadala; Narayana, Goddumarri Surya",IIUM ENGINEERING JOURNAL,singular-spectrum-analysis; machine learning; rainfall; SVR; RF,RANDOM FOREST; PREDICTION,,KULLIYYAH ENGINEERING,JALAN GOMBAK,"INT ISLAMIC UNIV MALAYSIA, JALAN GOMBAK, 53100, MALAYSIA",1511-788X,2289-7860,,IIUM ENG J,IIUM Eng. J.,JAN,2022,23,1,172,186,,
700,Seasonal forecasting of hydrological drought in the Limpopo Basin: a comparison of statistical methods,"The Limpopo Basin in southern Africa is prone to droughts which affect the livelihood of millions of people in South Africa, Botswana, Zimbabwe and Mozambique. Seasonal drought early warning is thus vital for the whole region. In this study, the predictability of hydrological droughts during the main runoff period from December to May is assessed using statistical approaches. Three methods (multiple linear models, artificial neural networks, random forest regression trees) are compared in terms of their ability to forecast streamflow with up to 12 months of lead time. The following four main findings result from the study. 1. There are stations in the basin at which standardised streamflow is predictable with lead times up to 12 months. The results show high inter-station differences of forecast skill but reach a coefficient of determination as high as 0.73 (cross validated). 2. A large range of potential predictors is considered in this study, comprising well-established climate indices, customised teleconnection indices derived from sea surface temperatures and antecedent streamflow as a proxy of catchment conditions. El Nino and customised indices, representing sea surface temperature in the Atlantic and Indian oceans, prove to be important teleconnection predictors for the region. Antecedent streamflow is a strong predictor in small catchments (with median 42% explained variance), whereas teleconnections exert a stronger influence in large catchments. 3. Multiple linear models show the best forecast skill in this study and the greatest robustness compared to artificial neural networks and random forest regression trees, despite their capabilities to represent nonlinear relationships. 4. Employed in early warning, the models can be used to forecast a specific drought level. Even if the coefficient of determination is low, the forecast models have a skill better than a climatological forecast, which is shown by analysis of receiver operating characteristics (ROCs). Seasonal statistical forecasts in the Limpopo show promising results, and thus it is recommended to employ them as complementary to existing forecasts in order to strengthen preparedness for droughts.",https://doi.org/10.5194/hess-21-1611-2017,10.5194/hess-21-1611-2017,"Seibert, Mathias; Merz, Bruno; Apel, Heiko",HYDROLOGY AND EARTH SYSTEM SCIENCES,,SOUTHERN AFRICA; NEURAL-NETWORK; RIVER-BASIN; PREDICTABILITY; VARIABILITY; PREDICTION; RAINFALL; CLIMATE; PRECIPITATION; PERFORMANCE,,COPERNICUS GESELLSCHAFT MBH,GOTTINGEN,"BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY",1027-5606,1607-7938,,HYDROL EARTH SYST SC,Hydrol. Earth Syst. Sci.,MAR 17,2017,21,3,1611,1629,,
701,Sensitivity of the weather research and forecasting model to parameterization schemes for regional climate of Nile River Basin,"Regional climate models (RCMs) have been used to simulate rainfall at relatively high spatial and temporal resolutions useful for sustainable water resources planning, design and management. In this study, the sensitivity of the RCM, weather research and forecasting (WRF), in modeling the regional climate of the Nile River Basin (NRB) was investigated using 31 combinations of different physical parameterization schemes which include cumulus (Cu), microphysics (MP), planetary boundary layer (PBL), land-surface model (LSM) and radiation (Ra) schemes. Using the European Centre for Medium-Range Weather Forecast (ECMWF) ERA-Interim reanalysis data as initial and lateral boundary conditions, WRF was configured to model the climate of NRB at a resolution of 36 km with 30 vertical levels. The 1999-2001 simulations using WRF were compared with satellite data combined with ground observation and the NCEP reanalysis data for 2 m surface air temperature (T2), rainfall, short- and longwave downward radiation at the surface (SWRAD, LWRAD). Overall, WRF simulated more accurate T2 and LWRAD (with correlation coefficients > 0.8 and low root-mean-square error) than SWRAD and rainfall for the NRB. Further, the simulation of rainfall is more sensitive to PBL, Cu and MP schemes than other schemes of WRF. For example, WRF simulated less biased rainfall with Kain-Fritsch combined with MYJ than with YSU as the PBL scheme. The simulation of T2 is more sensitive to LSM and Ra than to Cu, PBL and MP schemes selected, SWRAD is more sensitive to MP and Ra than to Cu, LSM and PBL schemes, and LWRAD is more sensitive to LSM, Ra and PBL than Cu, and MP schemes. In summary, the following combination of schemes simulated the most representative regional climate of NRB: WSM3 microphysics, KF cumulus, MYJ PBL, RRTM longwave radiation and Dudhia shortwave radiation schemes, and Noah LSM. The above configuration of WRF coupled to the Noah LSM has also been shown to simulate representative regional climate of NRB over 1980-2001 which include a combination of wet and dry years of the NRB.",https://doi.org/10.1007/s00382-017-3870-z,10.1007/s00382-017-3870-z,"Tariku, Tebikachew Betru; Gan, Thian Yew",CLIMATE DYNAMICS,WRF; Configuration of regional climate model; Temperature; Rainfall; Short and longwave radiation of Nile River Basin,DENSITY GAUGE DATASET; HEAVY RAINFALL EVENT; EASTERN AFRICA; BULK PARAMETERIZATION; CLOUD MICROPHYSICS; WEST-AFRICA; VALIDATION; VARIABILITY; TRMM; PRECIPITATION,,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",0930-7575,1432-0894,,CLIM DYNAM,Clim. Dyn.,JUN,2018,50,11-12,4231,4247,,
702,Performance enhancement of SVM model using discrete wavelet transform for daily streamflow forecasting,"Streamflow modeling becomes a vital task in any hydrological study for an improved planning and management of water resources. Soft computing and machine learning techniques are becoming popular day by day for their predictive capability when limited input data are available. In the present study, Support Vector Machine (SVM) technique is applied to forecast 1-day, 3-day, and 5-day ahead streamflow using daily streamflow time-series of Khanapur, Cholachguda, and Navalgund gauging stations in Malaprabha sub-basin located in the Karnataka state of India. Furthermore, Discrete Wavelet Transform is used as a data pre-processing method to evaluate the performance enhancement of SVM model, for which four different mother wavelet functions are used and tested separately, namely, Haar, Daubechies, Coiflets, and Symlets. Models are evaluated using coefficient of determination (R-2), root-mean-square error, and Nash-Sutcliffe efficiency. The study indicates that the performance of SVM model improves considerably when wavelet method is coupled. It is found that the R-2 values for Khanapur station using SVM are 0.91, 0.66, and 0.46 for 1-day, 3-day, and 5-day lead-time forecasts, respectively. However, when wavelet method is coupled with SVM model, the R-2 is improved to 0.99, 0.73, and 0.68 for 1-day, 3-day, and 5-day lead-time forecasts, respectively.",https://doi.org/10.1007/s12665-021-09394-z,10.1007/s12665-021-09394-z,"Kambalimath, Shruti S.; Deka, Paresh Chandra",ENVIRONMENTAL EARTH SCIENCES,Soft computing; Streamflow forecasting; Data pre-processing; Support vector machine (SVM); Discrete wavelet transform (DWT),,,SPRINGER,NEW YORK,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",1866-6280,1866-6299,,ENVIRON EARTH SCI,Environ. Earth Sci.,JAN 29,2021,80,3,,,101,
703,Random forest classification to determine environmental drivers and forecast paralytic shellfish toxins in Southeast Alaska with high temporal resolution,"Paralytic shellfish poison toxins (PSTs) produced by the dinoflagellate in the genus Alexandrium are a threat to human health and subsistence lifestyles in Southeast Alaska. It is important to understand the drivers of Alex-andrium blooms to inform shellfish management and aquaculture, as well as to predict trends of PST in a changing climate. In this study, we aggregate environmental data sets from multiple agencies and tribal partners to model and predict concentrations of PSTs in Southeast Alaska from 2016 to 2019. We used daily PST concentrations interpolated from regularly sampled blue mussels (Mytilus trossulus) analyzed for total PSTs using a receptor binding assay. We then created random forest models to classify shellfish above and below a threshold of toxicity (80 mu g 100 g(-1)) and used two methods to determine variable importance. We obtained a multivariate model with key variables being sea surface temperature, salinity, freshwater discharge, and air temperature. We then used a similar model trained using lagged environmental variables to hindcast out-of-sample (OOS) shellfish toxicities during April-October in 2017, 2018, and 2019. Hindcast OOS accuracies were low (37-50%); however, we found forecasting using environmental variables may be useful in predicting the timing of early summer blooms. This study reinforces the efficacy of machine learning to determine important drivers of harmful algal blooms, although more complex models incorporating other parameters such as toxicokinetics are likely needed for accurate regional forecasts.",https://doi.org/10.1016/j.hal.2020.101918,10.1016/j.hal.2020.101918,"Harley, John R. y; Lanphier, Kari; Kennedy, Esther; Whitehead, Chris; Bidlack, Allison",HARMFUL ALGAE,HABs; Paralytic shellfish toxins; PSP; Alaska; Blue mussels; Machine learning,RECEPTOR-BINDING ASSAY; ALEXANDRIUM-CATENELLA; PUGET-SOUND; MARINE ECOSYSTEMS; ALGAL BLOOMS; DINOPHYCEAE; TEMPERATURE; PATTERNS; CYSTS; THAU,,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",1568-9883,1878-1470,,HARMFUL ALGAE,Harmful Algae,NOV,2020,99,,,,101918,
704,Simulating the meteorology and PM10 concentrations in Arizona dust storms using the Weather Research and Forecasting model with Chemistry (Wrf-Chem),"Nine dust storms in south-central Arizona were simulated with the Weather Research and Forecasting with Chemistry model (WRF-Chem) at 2 km resolution. The windblown dust emission algorithm was the Air Force Weather Agency model. In comparison with ground-based PM10 observations, the model unevenly reproduces the dust-storm events. The model adequately estimates the location and timing of the events, but it is unable to precisely replicate the magnitude and timing of the elevated hourly concentrations of particles 10 mu m and smaller ([PM10]).Furthermore, the model underestimated [PM10] in highly agricultural Pinal County because it underestimated surface wind speeds and because the model's erodible fractions of the land surface data were too coarse to effectively resolve the active and abandoned agricultural lands. In contrast, the model overestimated [PM10] in western Arizona along the Colorado River because it generated daytime sea breezes (from the nearby Gulf of California) for which the surface-layer speeds were too strong. In Phoenix, AZ, the model's performance depended on the event, with both under- and overestimations partly due to incorrect representation of urban features. Sensitivity tests indicate that [PM10] highly relies on meteorological forcing. Increasing the fraction of erodible surfaces in the Pinal County agricultural areas improved the simulation of [PM10] in that region. Both 24-hr and 1-hr measured [PM10] were, for the most part, and especially in Pinal County, extremely elevated, with the former exceeding the health standard by as much as 10-fold and the latter exceeding health-based guidelines by as much as 70-fold. Monsoonal thunderstorms not only produce elevated [PM10], but also cause urban flash floods and disrupt water resource deliveries. Given the severity and frequency of these dust storms, and conceding that the modeling system applied in this work did not produce the desired agreement between simulations and observations, additional research in both the windblown dust emissions model and the weather research/physicochemical model is called for.Implications: While many dust storms can be considered to be natural, in semi-arid climates such storms often have an anthropogenic component in their sources of dust. Applying the natural, exceptional events policy to these storms with strong signatures of anthropogenic sources would appear not only to be misguided but also to stifle genuine regulatory efforts at remediation. Those dust storms that have resulted, in part, from passage over abandoned farm land should no longer be considered natural; policymakers and lawmakers need to compel the owners of such land to reduce its potential for windblown dust.",https://doi.org/10.1080/10962247.2017.1357662,10.1080/10962247.2017.1357662,"Hyde, Peter; Mahalov, Alex; Li, Jialun",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,,UNITED-STATES; MINERAL DUST; PRECIPITATION; IMPACT; PARAMETERIZATION; SYSTEM; VALLEY,,TAYLOR & FRANCIS INC,PHILADELPHIA,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA",1096-2247,2162-2906,,J AIR WASTE MANAGE,J. Air Waste Manage. Assoc.,,2018,68,3,177,195,,
